"Pos","Comp","Date","Match","Score","Goalkeeper","Goalscorer","Min","Part"
273,"SerA","5/10/2009","Milan - Juventus","1 - 1","Buffon","Seedorf","57","1 - 0"
274,"SerA","1/10/2010","Juventus - Milan","0 - 3","Manninger","Nesta",29,"0 - 1"
275,"SerA","1/10/2010","Juventus - Milan","0 - 3","Manninger","Ronaldinho","71","0 - 2"
276,"SerA","1/10/2010","Juventus - Milan","0 - 3","Manninger","Ronaldinho","87","0 - 3"
277,"SerA","5/15/2010","Milan - Juventus","3 - 0","Buffon","Antonini",14,"1 - 0"
278,"SerA","5/15/2010","Milan - Juventus","3 - 0","Buffon","Ronaldinho",28,"2 - 0"
279,"SerA","5/15/2010","Milan - Juventus","3 - 0","Manninger","Ronaldinho","67","3 - 0"
280,"SerA","10/30/2010","Milan - Juventus","1 - 2","Storari","Ibrahimović","82","1 - 2"
281,"SerA","3/5/2011","Juventus - Milan","0 - 1","Buffon","Gattuso","68","0 - 1"
282,"CI","2/8/2012","Milan - Juventus","1 - 2","Storari","El Shaarawy","62","1 - 1"
